date,location,temperature,salinity,depth
2020-01-01,Pacific,21.523585398772155,,200
2020-01-02,Pacific,14.800079468797522,34.467264326964724,100
2020-01-03,Pacific,23.752255979032284,35.01650517620031,100
2020-01-04,Pacific,24.702823581956068,36.416944415790645,200
2020-01-05,Pacific,10.244824056730819,35.80748723402295,1000
2020-01-06,Pacific,13.48910246568841,35.79587198802219,0
2020-01-07,Pacific,20.639202015836428,36.90879035845697,500
2020-01-08,Pacific,18.41878703828209,34.2961206589502,100
2020-01-09,Pacific,19.915994212478555,34.01412502500745,0
2020-01-10,Pacific,15.7347803621321,34.27787772977141,0
2020-01-11,Pacific,24.396989874314144,34.745498946593386,100
2020-01-12,Pacific,23.88895967714474,32.645449385708105,50
2020-01-13,Pacific,,34.79257176330319,0
2020-01-14,Pacific,25.636206034840164,34.455429268105085,50
2020-01-15,Pacific,22.337546711260227,35.7837597673978,1000
2020-01-16,Pacific,15.70353768558381,35.35241937901004,500
2020-01-17,Pacific,21.843753920412496,34.39930337223066,50
2020-01-18,Pacific,15.205586995855006,35.5899608453629,500
2020-01-19,Pacific,24.39225150653636,35.72326305982377,100
2020-01-20,Pacific,19.750370445068736,34.23145421020859,500
2020-01-21,Pacific,19.075688182273698,34.506975744617584,50
2020-01-22,Pacific,16.595352277980293,32.77463681290202,0
2020-01-23,Pacific,26.11270669337015,33.90934002563071,50
2020-01-24,Pacific,19.22735258965599,34.25753043957642,1000
2020-01-25,Pacific,17.858360889184464,35.07416617660602,200
2020-01-26,Pacific,18.239332247558853,34.05461732064018,0
2020-01-27,Pacific,22.661545927766745,34.48654801295089,1000
2020-01-28,Pacific,21.82722032182039,33.7746693184174,500
2020-01-29,Pacific,22.06366305797994,35.17111389853127,200
2020-01-30,Pacific,22.154105015039413,35.42571459458491,500
2020-01-31,Pacific,30.708238004352307,35.40236534841982,50
2020-02-01,Pacific,,35.01236113190526,200
2020-02-02,Pacific,17.438786354642314,33.45892700349861,1000
2020-02-03,Pacific,15.931136358760611,34.38004633610715,100
2020-02-04,Pacific,23.07989711287748,34.592693327681516,0
2020-02-05,Pacific,25.644861463604457,34.596704687079374,500
2020-02-06,Pacific,19.430262711725625,35.07498121798984,500
2020-02-07,Pacific,15.79921761518736,36.42554137237102,500
2020-02-08,Pacific,15.877593921543802,35.8120962126846,200
2020-02-09,Pacific,23.252963939123504,34.012482220151306,0
2020-02-10,Pacific,23.71627085601721,35.678402875296634,0
2020-02-11,Pacific,22.715771341525976,35.64030236766574,500
2020-02-12,Pacific,16.672451463556527,34.19393252704843,1000
2020-02-13,Pacific,21.1608066153336,35.84886592263544,0
2020-02-14,Pacific,,34.83962336405474,200
2020-02-15,Pacific,21.093442983645065,33.590046509985555,200
2020-02-16,Pacific,24.35714388974095,35.45520272463714,100
2020-02-17,Pacific,21.11797774387341,35.216961823614525,200
2020-02-18,Pacific,23.394567815359473,34.77232237081417,1000
2020-02-19,Pacific,20.33789534744446,34.9625469150167,500
2020-02-20,Pacific,21.44559699344992,34.28091452111154,0
2020-02-21,Pacific,23.1564411291927,35.61013050379711,100
2020-02-22,Pacific,12.714220900721667,34.95654936549107,1000
2020-02-23,Pacific,18.401643918213495,35.16644884394823,50
2020-02-24,Pacific,17.648136728536024,35.35714192442887,1000
2020-02-25,Pacific,16.80561075878329,33.845414385573676,100
2020-02-26,Pacific,18.624288743866583,34.10571697811795,200
2020-02-27,Pacific,27.47470655617198,32.79005554038379,50
2020-02-28,Pacific,15.670844421533783,35.564742258490405,1000
2020-02-29,Pacific,24.841391772957405,33.78778997625324,200
2020-03-01,Pacific,11.585651141920977,35.132569709895655,200
2020-03-02,Pacific,18.325574850071124,35.37098822493955,100
2020-03-03,Pacific,20.81376532552503,35.60235283889252,0
2020-03-04,Pacific,22.93111165679639,33.79598308616394,500
2020-03-05,Pacific,23.556132898964275,34.93483838185931,50
2020-03-06,Pacific,23.966736175999625,36.67028042078775,50
2020-03-07,Pacific,18.256374638757812,36.71431467998432,500
2020-03-08,Pacific,17.688241036677162,35.98732309402695,50
2020-03-09,Pacific,24.28987940628577,35.33749313881884,500
2020-03-10,Pacific,19.043478375591924,33.99489361115462,100
2020-03-11,Pacific,13.62156838331039,35.71862162539105,500
2020-03-12,Pacific,14.333563929982596,34.84197877125316,0
2020-03-13,Pacific,15.402738569991943,35.560528275272844,500
2020-03-14,Pacific,22.48580372026882,34.367156545147886,50
2020-03-15,Pacific,20.712128680352826,34.82706688716007,1000
2020-03-16,Pacific,23.452426770338842,35.16414736007643,100
2020-03-17,Pacific,17.863736768317327,,0
2020-03-18,Pacific,20.792698455383572,35.49372271446025,100
2020-03-19,Pacific,23.127951969836683,34.4208050154751,0
2020-03-20,Pacific,18.453267301398807,33.656715547889796,50
2020-03-21,Pacific,22.283876187787058,36.62478503989979,500
2020-03-22,Pacific,16.690370294666742,37.489254169023354,200
2020-03-23,Pacific,18.184730767174642,,500
2020-03-24,Pacific,18.091310530008354,33.67600790526989,1000
